season_tag,round_tag,race_name,track_type,Lando_Norris,Max_Verstappen,Oscar_Piastri,George_Russell,Charles_Leclerc,Lewis_Hamilton,Andrea_Kimi_Antonelli,Alexander_Albon,Sergio_Perez,Carlos_Sainz,Fernando_Alonso,Nico_Hulkenberg,Isack_Hadjar,Oliver_Bearman,Liam_Lawson,Esteban_Ocon,Kevin_Magnussen,Lance_Stroll,Daniel_Ricciardo,Yuki_Tsunoda,Pierre_Gasly,Gabriel_Bortoleto,Franco_Colapinto,Guanyu_Zhou,Jack_Doohan,Valtteri_Bottas,Logan_Sargeant
S2024,R01,Bahrain Grand Prix,permanent,6.0,1.0,8.0,5.0,4.0,7.0,,15.0,2.0,3.0,9.0,16.0,,,,17.0,12.0,10.0,13.0,14.0,18.0,,,11.0,,19.0,20.0
S2024,R02,Saudi Arabian Grand Prix,street,8.0,1.0,4.0,6.0,3.0,9.0,,11.0,2.0,,5.0,10.0,,7.0,,13.0,12.0,19.0,16.0,15.0,20.0,,,18.0,,17.0,14.0
S2024,R03,Australian Grand Prix,temporary_non_street,3.0,19.0,4.0,17.0,2.0,18.0,,11.0,5.0,1.0,8.0,9.0,,,,16.0,10.0,6.0,12.0,7.0,13.0,,,15.0,,14.0,
S2024,R04,Japanese Grand Prix,permanent,5.0,1.0,8.0,7.0,4.0,9.0,,20.0,2.0,3.0,6.0,11.0,,,,15.0,13.0,12.0,19.0,10.0,16.0,,,18.0,,14.0,17.0
S2024,R05,Chinese Grand Prix,permanent,2.0,1.0,8.0,6.0,4.0,9.0,,12.0,3.0,5.0,7.0,10.0,,,,11.0,16.0,15.0,18.0,19.0,13.0,,,14.0,,20.0,17.0
S2024,R06,Miami Grand Prix,temporary_non_street,1.0,2.0,13.0,8.0,3.0,6.0,,18.0,4.0,5.0,9.0,11.0,,,,10.0,19.0,17.0,15.0,7.0,12.0,,,14.0,,16.0,20.0
S2024,R07,Emilia Romagna Grand Prix,permanent,2.0,1.0,4.0,7.0,3.0,6.0,,20.0,8.0,5.0,19.0,11.0,,,,14.0,12.0,9.0,13.0,10.0,16.0,,,15.0,,18.0,17.0
S2024,R08,Monaco Grand Prix,street,4.0,6.0,2.0,5.0,1.0,7.0,,9.0,18.0,3.0,11.0,19.0,,,,17.0,20.0,14.0,12.0,8.0,10.0,,,16.0,,13.0,15.0
S2024,R09,Canadian Grand Prix,temporary_non_street,2.0,1.0,5.0,3.0,19.0,4.0,,17.0,18.0,16.0,6.0,11.0,,,,10.0,12.0,7.0,8.0,14.0,9.0,,,15.0,,13.0,20.0
S2024,R10,Spanish Grand Prix,permanent,2.0,1.0,7.0,4.0,5.0,3.0,,18.0,8.0,6.0,12.0,11.0,,,,10.0,17.0,14.0,15.0,19.0,9.0,,,13.0,,16.0,20.0
