match_id,player_A,player_B
m0001,1,2
m0002,1,2
m0003,1,2
m0004,1,2
m0005,1,2
m0006,1,2
m0007,1,2
m0008,1,2
m0009,1,2
m0010,1,2
m0011,1,2
m0012,1,2
m0013,1,2
m0014,1,2
m0015,1,2
m0016,1,2
m0017,1,2
m0018,1,2
m0019,1,2
m0020,1,2
m0021,1,2
m0022,1,2
m0023,1,2
m0024,1,2
m0025,1,2
m0026,1,2
m0027,1,2
m0028,1,2
m0029,1,2
m0030,1,2
m0031,1,2
m0032,1,2
m0033,1,2
m0034,1,2
m0035,1,2
m0036,1,2
m0037,1,2
m0038,1,2
m0039,1,2
m0040,1,2
m0041,1,2
m0042,1,2
m0043,1,2
m0044,1,2
m0045,2,1
m0046,1,2
m0047,1,2
m0048,1,2
m0049,1,2
m0050,1,2
m0051,2,1
m0052,1,2
m0053,1,2
m0054,1,2
m0055,1,2
m0056,1,2
m0057,1,2
m0058,1,2
m0059,1,2
m0060,2,1
m0061,1,2
m0062,2,1
m0063,1,2
m0064,1,2
m0065,1,2
m0066,2,1
m0067,1,2
m0068,1,2
m0069,1,2
m0070,1,2
m0071,1,2
m0072,1,2
m0073,2,1
m0074,1,2
m0075,1,2
m0076,1,2
m0077,1,2
m0078,1,2
m0079,1,2
m0080,1,2
m0081,1,2
m0082,1,2
m0083,1,2
m0084,1,2
m0085,1,2
m0086,1,2
m0087,1,2
m0088,1,2
m0089,1,2
m0090,1,2
m0091,2,1
m0092,1,2
m0093,1,2
m0094,1,2
m0095,1,2
m0096,1,2
m0097,1,2
m0098,1,2
m0099,1,2
m0100,1,2
m0101,1,2
m0102,1,2
m0103,2,1
m0104,1,2
m0105,1,2
m0106,1,2
m0107,1,2
m0108,1,2
m0109,1,2
m0110,1,2
m0111,1,2
m0112,1,2
m0113,2,1
m0114,1,2
m0115,1,2
m0116,1,2
m0117,1,2
m0118,1,2
m0119,1,2
m0120,1,2
m0121,1,2
m0122,1,2
m0123,1,2
m0124,1,2
m0125,1,2
m0126,1,2
