trial_id,method_A,method_B,method_C,method_D,method_E
t0001,1,1,1,0,0
t0002,1,1,1,1,0
t0003,1,1,0,0,1
t0004,1,1,0,0,0
t0005,1,1,0,0,1
t0006,0,1,1,0,0
t0007,1,1,0,1,0
t0008,1,1,1,0,1
t0009,1,0,0,0,0
t0010,1,0,0,0,1
t0011,1,1,1,1,0
t0012,1,1,0,1,0
t0013,1,1,1,0,1
t0014,1,1,1,0,0
t0015,0,1,1,0,0
t0016,1,1,1,1,0
t0017,1,0,0,1,1
t0018,1,1,1,0,0
t0019,1,1,1,0,1
t0020,1,1,1,1,1
t0021,1,0,0,1,1
t0022,0,1,0,0,1
t0023,0,1,0,1,1
t0024,1,1,0,0,0
t0025,1,0,1,1,1
t0026,1,1,1,0,1
t0027,1,0,1,0,1
t0028,1,1,1,0,0
t0029,1,1,0,1,0
t0030,1,1,1,0,1
t0031,1,1,0,1,1
t0032,1,1,1,1,1
t0033,1,0,1,0,1
t0034,1,1,1,0,1
t0035,0,1,0,0,0
t0036,1,1,0,1,1
t0037,1,1,0,1,0
t0038,1,1,1,1,1
t0039,1,1,0,0,0
t0040,1,1,1,0,0
t0041,1,1,1,0,0
t0042,1,0,0,0,1
t0043,1,1,1,1,1
t0044,1,0,0,1,0
t0045,1,1,1,1,0
t0046,1,1,1,1,0
t0047,1,1,0,1,0
t0048,0,1,1,0,0
t0049,1,0,0,1,1
t0050,1,1,1,0,0
t0051,1,1,1,1,1
t0052,1,0,1,0,1
t0053,0,1,1,0,0
t0054,1,1,1,0,1
t0055,1,1,1,1,0
t0056,1,0,0,0,1
t0057,1,1,1,0,0
t0058,1,1,1,1,0
t0059,1,1,1,1,0
t0060,1,0,1,1,1
t0061,1,1,0,0,0
t0062,1,1,0,0,0
t0063,1,1,1,0,0
t0064,1,0,0,1,1
t0065,1,0,1,1,0
t0066,1,0,1,0,0
t0067,1,1,0,1,0
t0068,1,1,1,0,0
t0069,1,1,0,0,0
t0070,1,0,0,1,1
t0071,1,1,1,0,1
t0072,1,1,0,1,1
t0073,0,0,0,0,0
t0074,1,1,1,1,0
t0075,1,1,1,0,1
t0076,1,1,1,1,0
t0077,1,1,0,1,0
t0078,1,1,0,0,0
t0079,1,1,1,1,1
t0080,1,1,1,0,1
t0081,1,1,1,1,1
t0082,1,1,1,0,1
t0083,1,1,1,1,1
t0084,1,1,1,0,1
t0085,1,1,1,1,0
t0086,1,1,1,1,1
t0087,1,1,1,1,0
t0088,1,1,1,0,1
t0089,1,0,0,1,1
t0090,1,1,1,0,1
t0091,1,0,1,0,1
t0092,1,1,1,1,0
t0093,1,1,1,0,1
t0094,1,1,1,1,0
t0095,1,1,1,1,0
t0096,1,1,1,0,0
t0097,1,1,0,0,0
t0098,1,0,0,0,0
t0099,1,1,0,1,1
t0100,1,1,0,1,0
t0101,1,0,0,1,1
t0102,1,1,1,0,1
t0103,1,0,1,1,0
t0104,1,1,1,0,0
t0105,1,0,1,1,0
t0106,1,1,0,1,1
t0107,1,1,1,1,0
t0108,1,1,1,1,1
t0109,1,1,1,1,1
t0110,1,1,1,0,1
t0111,1,1,0,0,0
