trial_id,method_A,method_B,method_C,method_D,method_E,method_F
t0001,1,0,0,0,1,0
t0002,1,1,1,0,1,1
t0003,1,1,0,1,1,0
t0004,1,1,1,0,0,0
t0005,1,1,1,1,0,1
t0006,1,1,1,0,1,0
t0007,1,1,1,1,1,0
t0008,1,1,0,0,1,0
t0009,1,1,1,0,0,1
t0010,1,0,1,0,1,1
t0011,1,1,1,1,0,0
t0012,1,0,0,1,1,1
t0013,1,0,1,0,0,1
t0014,1,1,1,1,0,0
t0015,1,1,0,0,1,1
t0016,0,1,1,1,1,0
t0017,1,0,1,0,0,1
t0018,1,1,0,1,1,0
t0019,1,1,1,0,0,0
t0020,1,0,1,0,1,1
t0021,1,1,1,1,0,1
t0022,1,1,0,1,1,0
t0023,1,1,1,1,0,0
t0024,1,1,0,1,0,0
t0025,1,1,0,1,0,1
t0026,1,1,1,0,0,1
t0027,1,1,0,1,0,0
t0028,1,0,1,1,1,0
t0029,1,1,1,1,0,0
t0030,1,0,0,1,0,0
t0031,1,0,0,1,1,0
t0032,1,1,1,0,0,0
t0033,1,1,1,0,0,1
t0034,1,1,1,1,0,0
t0035,0,1,1,1,1,0
t0036,1,1,1,0,1,1
t0037,1,1,1,1,1,0
t0038,1,1,1,1,1,0
t0039,1,0,1,1,0,0
t0040,1,1,1,1,1,0
t0041,1,1,0,0,1,0
t0042,1,1,0,0,0,1
t0043,1,0,1,1,1,0
t0044,1,1,1,1,1,0
t0045,1,0,1,0,1,0
t0046,1,1,1,0,1,1
t0047,1,1,1,0,0,1
t0048,1,1,0,0,0,0
t0049,1,1,1,1,0,0
t0050,1,1,1,0,1,0
t0051,1,1,1,0,0,0
t0052,1,1,1,1,1,0
t0053,0,0,1,0,1,0
t0054,1,1,0,1,1,0
t0055,1,0,1,1,1,1
t0056,1,1,1,1,1,0
t0057,1,1,1,1,1,0
t0058,1,1,0,1,0,1
t0059,0,1,1,1,1,1
t0060,1,1,1,1,1,1
t0061,0,1,0,1,1,0
t0062,1,1,1,1,0,1
t0063,1,1,1,1,1,0
t0064,1,1,1,0,0,0
t0065,1,0,1,1,0,0
t0066,1,1,1,1,1,0
t0067,1,1,1,0,1,1
t0068,1,1,1,0,1,0
t0069,1,1,1,0,0,0
t0070,1,1,1,1,1,0
t0071,1,1,1,1,1,1
t0072,1,1,1,0,1,0
t0073,1,1,0,1,0,0
t0074,1,1,1,1,1,0
t0075,1,1,1,1,1,0
t0076,1,1,1,0,0,0
t0077,1,0,1,1,0,0
t0078,1,1,1,0,0,0
t0079,1,1,1,0,1,0
t0080,1,0,1,1,0,1
t0081,0,0,1,0,0,1
t0082,1,1,0,0,1,1
t0083,1,1,1,0,0,1
t0084,0,0,1,1,1,1
t0085,1,1,1,0,0,0
t0086,1,0,1,1,1,1
t0087,0,1,1,0,0,0
t0088,1,1,1,1,1,1
t0089,1,1,1,1,0,1
t0090,1,1,0,0,1,1
t0091,1,0,0,0,0,1
t0092,1,0,1,1,0,0
t0093,1,1,1,1,1,0
t0094,1,1,0,1,0,1
t0095,1,0,1,0,0,0
t0096,1,1,1,0,1,0
t0097,1,1,1,0,1,0
t0098,1,1,1,1,0,0
t0099,1,1,1,1,1,0
t0100,1,1,1,0,1,0
t0101,1,1,1,0,1,0
t0102,1,1,1,1,1,1
t0103,1,0,0,0,1,0
t0104,1,1,1,1,1,0
t0105,1,1,1,1,0,0
t0106,1,1,1,1,0,0
t0107,1,1,0,1,1,0
t0108,1,1,0,1,0,1
t0109,0,1,1,1,0,0
t0110,1,1,1,1,0,0
t0111,1,1,0,0,1,0
t0112,1,1,1,1,1,0
t0113,1,1,1,1,0,0
t0114,0,1,1,1,0,1
t0115,1,1,1,1,0,0
t0116,1,1,1,0,0,0
t0117,1,1,1,1,1,0
t0118,1,0,1,0,0,1
t0119,1,0,0,0,1,0
t0120,1,1,0,1,1,0
