system_A,system_B,system_C,system_D,system_E,system_F,system_G
,,,0.8237550068187695,0.5536806796664484,0.5785625533941585,0.3139454157418698
0.7528475776094025,,0.6872689727827237,,,0.40105134776355467,0.34112325636867463
0.9008873253356907,0.4938471155728301,0.592313893169325,0.5889121873675982,0.26099868908980256,0.3624352814850368,
0.79313927835149,,0.6556852476286412,,0.608851532662475,0.5119382069871481,0.586705061214777
0.8482657274946065,0.7191672129788671,0.5724253560211369,0.4814603182895441,,,0.1836814469121202
0.9155541097604439,0.7451117866384381,0.7901571426683077,0.7119878937978761,0.5776589034276174,0.3674834373235551,0.41067070902030495
,,0.8075632535001837,0.5243625024896422,0.9878151914390259,0.19507801088320187,0.5286935729993947
0.7976336931368118,0.6710263302368048,0.4617907898647621,0.4790333427465662,0.266573113926836,0.3601305760335306,0.6225739694507355
0.8368468235289003,0.9672446136085177,,,0.7236302646379996,0.514616475935704,
0.8393964448953597,0.7537595708435976,0.5037498227225239,,,0.34032923060248643,0.40897153432642397
0.8055986764141446,0.6832614274486979,,,0.5511461351950278,,0.4183712428638376
0.8189444724799477,0.7617263294371606,0.67332077695849,0.5811909509061268,,0.35443514077737204,0.37345780778639487
1.0,,,0.4353150479640713,0.4657583066589014,,0.33813857585128326
0.9173103337529487,0.7728618318720115,,0.6037253877314828,0.44828671527801556,,0.40231704674000546
,0.7419793557673098,,0.626671935893789,0.5562077149354276,0.5141091758160988,0.04613046977363777
0.9336345285412883,0.6886646664262122,,0.5424795766270978,,0.1489030357254359,0.4318483388075157
0.8099416612292788,0.6872109652105547,0.6916546537776834,0.738706210103124,0.6067361667692784,0.46359341539040244,0.365141348439436
0.9907749565103969,0.6949296602884235,0.596724826932863,0.5494873337169258,0.46672333808043615,0.29100502556540375,0.32330301238660814
0.8943570630637713,0.807324418763955,0.7045518379900612,0.733000522396458,0.38105834598182364,0.5063463816702364,0.5956234634863469
,0.6473650555784521,,0.6716139335609972,0.46266512370716895,0.5190516056381718,
0.9037260310972333,0.8138589734830932,,,0.6675245726901753,0.4126995811439802,0.3016308813121963
,0.9362260373418863,,0.4681738991032326,0.45242645622471983,0.4129731542795867,0.5889863962645681
0.7147879037308233,0.8057515496042505,,0.6117972230685723,0.559681100851821,0.3365698096769772,0.2501526434180172
0.7067289992321133,0.7223164031966102,0.5273835849020216,0.5936606394510276,,0.2718633253207374,0.2839861660476153
,,,,,0.6371044820933813,0.332356949188298
1.0,0.9560394836160483,0.7807009198723244,0.7326072875763491,0.5989275953214911,0.329524762072798,
,0.6262645485947971,,0.501911892371118,0.738499726662236,0.62146886907691,0.3749363008823976
0.9265661321728909,0.8684941108037564,,,0.49559899320676076,,0.19488495834172848
