game_id,event,white,black,Magnus Carlsen,Fabiano Caruana,Ding Liren,Ian Nepomniachtchi,Alireza Firouzja,Wesley So,Anish Giri
1,World Championship,Ding Liren,Magnus Carlsen,1.0,,0.0,,,,
2,Norway Chess,Alireza Firouzja,Ian Nepomniachtchi,,,,0.0,1.0,,
3,Norway Chess,Magnus Carlsen,Ding Liren,1.0,,0.0,,,,
4,Candidates,Anish Giri,Ding Liren,,,1.0,,,,0.0
5,Candidates,Ding Liren,Ian Nepomniachtchi,,,0.5,0.5,,,
6,Tata Steel,Wesley So,Anish Giri,,,,,,1.0,0.0
7,Candidates,Wesley So,Alireza Firouzja,,,,,0.0,1.0,
8,Tata Steel,Magnus Carlsen,Alireza Firouzja,0.5,,,,0.5,,
9,Candidates,Alireza Firouzja,Magnus Carlsen,0.5,,,,0.5,,
10,World Championship,Wesley So,Ian Nepomniachtchi,,,,0.0,,1.0,
11,Candidates,Wesley So,Fabiano Caruana,,1.0,,,,0.0,
12,Norway Chess,Anish Giri,Wesley So,,,,,,0.0,1.0
13,Norway Chess,Ian Nepomniachtchi,Fabiano Caruana,,0.0,,1.0,,,
14,Tata Steel,Alireza Firouzja,Ian Nepomniachtchi,,,,0.0,1.0,,
15,World Championship,Fabiano Caruana,Anish Giri,,0.0,,,,,1.0
16,Tata Steel,Fabiano Caruana,Alireza Firouzja,,0.5,,,0.5,,
17,Norway Chess,Magnus Carlsen,Anish Giri,1.0,,,,,,0.0
18,Tata Steel,Alireza Firouzja,Magnus Carlsen,0.5,,,,0.5,,
19,Candidates,Ding Liren,Fabiano Caruana,,1.0,0.0,,,,
20,Norway Chess,Magnus Carlsen,Ding Liren,0.5,,0.5,,,,
21,Tata Steel,Magnus Carlsen,Anish Giri,1.0,,,,,,0.0
22,Tata Steel,Ding Liren,Ian Nepomniachtchi,,,0.0,1.0,,,
23,Tata Steel,Wesley So,Fabiano Caruana,,1.0,,,,0.0,
24,Tata Steel,Magnus Carlsen,Ding Liren,0.0,,1.0,,,,
25,Candidates,Ian Nepomniachtchi,Alireza Firouzja,,,,0.0,1.0,,
26,Norway Chess,Ian Nepomniachtchi,Ding Liren,,,0.5,0.5,,,
27,Tata Steel,Ding Liren,Magnus Carlsen,1.0,,0.0,,,,
28,World Championship,Ding Liren,Wesley So,,,1.0,,,0.0,
29,World Championship,Wesley So,Fabiano Caruana,,1.0,,,,0.0,
30,Candidates,Fabiano Caruana,Magnus Carlsen,0.0,1.0,,,,,
31,Candidates,Alireza Firouzja,Ian Nepomniachtchi,,,,1.0,0.0,,
32,Norway Chess,Ian Nepomniachtchi,Anish Giri,,,,0.5,,,0.5
33,Tata Steel,Ian Nepomniachtchi,Anish Giri,,,,0.5,,,0.5
34,World Championship,Magnus Carlsen,Anish Giri,1.0,,,,,,0.0
35,Norway Chess,Ian Nepomniachtchi,Anish Giri,,,,1.0,,,0.0
36,Tata Steel,Magnus Carlsen,Ding Liren,1.0,,0.0,,,,
37,World Championship,Fabiano Caruana,Wesley So,,0.5,,,,0.5,
38,Candidates,Ding Liren,Ian Nepomniachtchi,,,1.0,0.0,,,
