matchday,Manchester United,Liverpool,Chelsea,Arsenal,Manchester City,Tottenham,Leicester,West Ham,Everton,Leeds,Aston Villa,Newcastle,Wolves,Crystal Palace
1,4,2,13,8,3,14,7,9,5,1,10,6,11,12
2,2,4,14,3,6,7,8,13,9,5,10,1,11,12
3,1,5,10,3,7,9,8,14,6,2,12,4,13,11
4,1,4,9,2,6,7,11,14,8,3,13,5,12,10
5,2,7,10,1,5,8,11,12,6,3,14,4,13,9
6,1,5,11,2,6,8,10,13,7,4,14,3,12,9
7,1,6,8,4,2,9,11,13,5,7,14,3,12,10
8,1,3,6,2,8,9,10,13,5,4,14,7,12,11
9,1,4,6,2,8,10,12,13,3,5,14,7,11,9
10,2,4,9,3,5,11,12,13,1,7,14,6,10,8
11,5,6,10,1,2,8,13,12,3,7,14,4,11,9
12,3,6,8,1,2,9,11,12,4,5,14,7,13,10
13,5,8,7,1,4,9,10,12,2,6,14,3,13,11
14,6,4,10,1,5,9,8,12,3,7,14,2,13,11
15,8,3,10,1,7,9,6,11,4,5,14,2,12,13
16,7,4,9,1,8,10,5,13,3,6,14,2,12,11
17,7,3,9,1,8,10,5,13,4,6,14,2,12,11
18,5,2,9,1,7,10,4,12,6,8,13,3,14,11
19,6,2,10,1,7,9,5,12,3,8,14,4,13,11
20,4,2,9,1,10,7,6,12,5,8,14,3,11,13
21,4,2,7,1,9,8,5,13,6,10,12,3,11,14
22,4,2,5,1,10,8,7,14,6,9,11,3,13,12
23,4,2,5,1,8,10,7,13,6,9,14,3,12,11
24,4,2,6,1,9,10,7,12,5,8,14,3,13,11
25,5,3,4,1,11,9,7,10,6,8,14,2,12,13
26,6,4,3,1,8,9,7,11,5,10,13,2,14,12
27,6,4,3,1,10,9,7,8,5,12,13,2,14,11
28,6,4,1,3,10,9,7,8,5,13,14,2,12,11
29,6,3,2,5,9,8,7,11,4,13,12,1,10,14
30,4,5,1,3,10,8,7,12,6,13,11,2,9,14
31,6,4,2,3,11,8,7,12,5,13,9,1,10,14
32,6,4,1,2,9,8,7,12,5,13,11,3,10,14
33,5,4,2,1,11,8,7,13,6,14,10,3,9,12
34,7,4,2,1,11,8,6,12,5,14,9,3,10,13
35,7,4,1,2,9,8,5,13,6,14,10,3,11,12
36,5,2,1,3,10,8,6,12,7,14,11,4,9,13
37,6,2,1,3,10,8,5,12,7,14,11,4,9,13
38,7,2,1,3,10,8,5,12,6,14,11,4,9,13
