respondent_id,age_group,Q1_satisfaction,Q2_satisfaction,Q3_satisfaction,Q4_satisfaction,Q5_satisfaction,Q6_satisfaction,Q7_satisfaction
R00001,46-55,8,9,8,3,5,3,5
R00002,18-25,10,7,7,10,7,5,1
R00003,26-35,10,4,3,9,7,4,5
R00004,55+,7,7,7,6,6,2,3
R00005,26-35,8,7,6,4,3,6,3
R00006,55+,8,9,7,7,6,7,7
R00007,18-25,9,6,8,6,8,7,4
R00008,55+,8,8,7,6,7,5,2
R00009,18-25,10,8,9,7,6,6,3
R00010,55+,5,7,6,7,7,7,2
R00011,36-45,7,9,8,4,5,4,6
R00012,36-45,9,6,8,6,6,6,3
R00013,36-45,9,6,7,7,4,5,5
R00014,18-25,10,7,8,7,6,6,6
R00015,36-45,10,6,6,6,7,5,3
R00016,36-45,8,8,6,7,4,7,5
R00017,36-45,10,6,5,5,4,5,2
R00018,26-35,7,8,7,6,5,2,8
R00019,46-55,9,7,7,1,5,7,5
R00020,26-35,10,8,8,5,6,3,4
R00021,18-25,10,7,8,7,5,7,3
R00022,36-45,8,7,6,5,8,5,4
R00023,36-45,8,7,5,5,3,6,3
R00024,18-25,6,8,7,4,7,6,7
R00025,55+,8,7,8,8,4,5,2
R00026,36-45,6,10,8,7,3,5,4
R00027,36-45,7,6,8,7,6,5,4
R00028,46-55,6,7,6,3,5,2,4
R00029,26-35,7,5,6,6,4,5,4
R00030,55+,8,8,6,6,3,3,4
R00031,26-35,8,6,7,6,5,5,5
R00032,26-35,7,7,7,5,7,3,5
R00033,18-25,10,7,7,5,6,3,5
R00034,26-35,8,8,6,7,5,7,1
R00035,36-45,7,7,6,3,6,6,4
R00036,26-35,8,6,6,9,5,5,2
R00037,46-55,10,9,8,7,3,5,5
R00038,55+,9,8,7,6,3,4,6
R00039,26-35,7,6,6,7,5,6,3
R00040,18-25,6,7,6,4,5,4,4
R00041,55+,8,10,5,5,7,6,3
R00042,18-25,8,7,9,6,6,4,6
R00043,55+,7,6,7,8,6,4,4
R00044,55+,6,6,4,6,5,5,7
R00045,26-35,7,7,8,7,3,4,5
R00046,18-25,10,6,8,5,6,5,4
R00047,46-55,10,5,7,7,6,4,4
R00048,46-55,7,6,9,9,2,5,5
R00049,55+,9,6,7,7,4,6,1
R00050,26-35,6,8,5,6,4,4,4
R00051,55+,10,7,7,7,6,4,4
R00052,55+,8,7,7,7,4,5,5
R00053,26-35,9,9,6,7,5,4,4
R00054,18-25,5,9,8,8,5,5,2
R00055,55+,9,7,4,8,5,5,4
R00056,26-35,8,6,8,6,4,6,2
R00057,55+,9,6,5,7,4,4,1
R00058,46-55,9,8,5,5,4,3,5
R00059,18-25,8,7,6,5,6,4,5
R00060,26-35,7,7,7,6,6,3,5
R00061,46-55,9,6,7,6,4,6,6
R00062,26-35,8,6,6,4,8,3,3
R00063,26-35,7,8,6,7,5,8,2
R00064,18-25,7,5,5,2,8,7,4
R00065,46-55,6,9,6,10,4,5,3
R00066,55+,7,7,8,8,2,6,3
R00067,55+,10,7,7,6,6,2,4
R00068,36-45,8,5,8,6,6,8,3
R00069,46-55,7,7,9,6,5,4,1
R00070,46-55,9,7,6,5,4,4,3
R00071,55+,7,7,6,6,5,2,2
R00072,26-35,8,10,10,6,5,5,4
R00073,46-55,8,8,9,6,5,3,3
R00074,46-55,9,6,4,6,7,5,6
R00075,26-35,6,6,7,4,6,4,6
R00076,36-45,7,8,7,6,6,3,5
R00077,26-35,6,9,8,6,5,3,2
R00078,26-35,8,8,6,6,5,5,6
R00079,46-55,10,8,5,6,4,3,6
R00080,55+,7,8,6,8,5,4,4
R00081,26-35,7,9,6,5,1,6,6
R00082,36-45,9,4,8,6,4,9,3
R00083,46-55,10,8,5,8,5,5,1
R00084,36-45,8,9,6,6,6,3,3
R00085,18-25,9,5,4,6,5,4,7
R00086,36-45,6,6,8,6,6,5,2
R00087,36-45,10,6,9,8,2,4,4
R00088,36-45,10,6,6,6,5,6,4
R00089,55+,9,7,6,8,3,5,3
R00090,18-25,5,8,7,6,4,6,3
R00091,36-45,7,9,9,5,5,4,4
R00092,55+,9,9,7,7,7,7,3
R00093,18-25,7,6,6,6,6,4,2
R00094,26-35,10,6,4,7,5,3,4
R00095,26-35,9,9,5,2,5,8,6
R00096,55+,7,8,7,6,4,2,5
R00097,55+,8,7,6,5,5,4,3
R00098,46-55,7,8,7,4,6,4,2
R00099,18-25,8,7,6,5,3,8,4
R00100,18-25,7,8,5,5,6,7,6
R00101,36-45,10,7,5,6,5,7,5
R00102,36-45,10,8,9,4,7,4,5
R00103,46-55,6,5,8,6,7,8,5
R00104,36-45,5,6,9,8,3,5,5
R00105,46-55,8,6,7,6,4,6,4
R00106,18-25,6,7,6,7,4,5,5
R00107,46-55,8,6,9,8,3,5,3
R00108,18-25,9,7,7,8,4,4,2
R00109,18-25,10,5,7,9,9,4,5
R00110,26-35,8,8,7,5,6,6,6
R00111,18-25,8,7,2,5,8,5,2
R00112,18-25,5,5,9,7,7,5,5
R00113,55+,8,6,7,7,4,7,7
R00114,55+,8,8,7,7,5,1,4
R00115,18-25,9,7,7,9,6,5,3
R00116,46-55,7,6,7,6,6,6,4
R00117,26-35,7,7,6,7,4,6,3
R00118,55+,6,8,8,5,3,5,3
R00119,36-45,5,5,5,9,10,5,5
R00120,46-55,6,8,7,5,5,6,2
R00121,18-25,6,6,8,6,5,7,2
R00122,46-55,9,7,6,5,6,4,4
R00123,36-45,7,7,7,5,5,5,4
R00124,55+,7,7,5,5,6,7,5
R00125,55+,7,6,5,5,7,1,7
R00126,18-25,3,7,7,4,5,4,4
R00127,18-25,10,10,8,5,4,7,5
R00128,46-55,6,5,4,9,5,6,3
R00129,55+,7,10,7,7,5,5,5
R00130,55+,6,7,6,7,7,4,3
R00131,26-35,9,7,6,8,7,3,4
R00132,36-45,8,6,5,9,5,4,4
R00133,26-35,7,6,5,3,3,7,6
R00134,36-45,7,7,8,4,3,4,2
R00135,26-35,10,6,7,5,5,5,1
R00136,36-45,8,7,6,5,6,4,4
R00137,18-25,8,7,6,6,5,6,5
R00138,18-25,7,10,7,5,5,4,4
R00139,36-45,5,6,7,6,4,5,6
R00140,18-25,8,7,7,6,5,2,5
R00141,55+,8,8,8,5,2,2,3
R00142,36-45,10,6,8,3,4,5,1
R00143,18-25,5,8,7,5,4,3,4
R00144,26-35,6,7,7,5,7,8,6
R00145,26-35,7,4,8,6,4,2,3
R00146,26-35,8,8,7,4,6,3,4
R00147,26-35,8,6,8,5,6,5,5
R00148,26-35,8,6,8,4,7,4,2
R00149,55+,9,8,5,6,7,3,5
R00150,46-55,7,7,5,4,5,3,6
R00151,46-55,9,9,6,5,5,3,4
R00152,46-55,9,9,8,4,4,4,2
R00153,55+,8,6,4,6,5,8,4
R00154,36-45,10,9,7,5,5,5,1
R00155,55+,10,6,7,7,6,6,5
R00156,26-35,9,10,8,7,6,5,5
R00157,55+,3,6,7,6,6,6,7
R00158,26-35,10,9,5,5,7,1,4
R00159,18-25,9,9,5,7,8,4,5
R00160,26-35,10,8,5,7,6,7,3
R00161,26-35,10,6,6,6,7,4,3
R00162,55+,10,7,6,8,5,7,2
R00163,18-25,9,4,5,7,7,7,4
R00164,18-25,10,8,9,7,7,4,4
R00165,18-25,10,8,5,6,7,4,4
R00166,36-45,8,8,9,7,5,3,3
R00167,26-35,6,3,8,5,4,4,4
R00168,18-25,8,5,8,5,3,3,3
R00169,36-45,9,6,6,7,5,5,4
R00170,55+,8,8,7,7,8,2,4
R00171,46-55,6,8,5,7,5,6,4
R00172,46-55,6,7,8,8,7,6,5
R00173,26-35,7,8,7,4,7,2,4
R00174,55+,9,6,6,5,5,7,3
R00175,26-35,10,8,5,6,7,5,4
R00176,36-45,9,8,3,5,1,6,3
R00177,26-35,10,8,5,10,3,4,3
R00178,26-35,8,7,8,7,4,6,7
R00179,55+,5,10,6,6,4,6,3
R00180,46-55,7,8,6,5,6,5,4
R00181,46-55,8,6,8,5,6,8,3
R00182,55+,7,8,9,6,6,5,4
R00183,55+,8,8,9,6,6,6,4
R00184,46-55,9,6,5,5,4,5,4
