race_id,racer_A,racer_B,racer_C,racer_D,racer_E,racer_F,racer_G
race_001,2,1,3,5,4,7,6
race_002,2,1,3,6,5,4,7
,1,4,2,3,5,6,7
,1,3,2,4,7,6,5
race_005,3,2,4,6,1,5,7
,1,2,3,5,4,6,7
race_007,2,1,3,6,4,7,5
race_008,1,4,5,2,3,6,7
,2,1,4,6,5,3,7
race_010,2,1,3,4,5,6,7
race_011,2,1,5,3,6,4,7
race_012,1,3,6,4,2,5,7
race_013,1,3,4,2,5,7,6
race_014,2,1,3,5,4,6,7
race_015,1,5,4,2,6,7,3
race_016,3,1,6,4,2,5,7
,2,1,4,7,3,5,6
,1,3,2,4,5,6,7
race_019,1,3,2,6,5,4,7
race_020,5,1,2,3,4,6,7
,2,1,3,5,4,6,7
,2,1,5,7,3,4,6
race_023,1,3,5,4,6,2,7
race_024,2,6,1,5,3,4,7
race_025,3,2,1,4,5,6,7
race_026,1,3,2,6,4,5,7
race_027,1,4,3,2,5,6,7
race_028,3,1,6,7,2,5,4
race_029,1,2,3,4,5,6,7
,1,2,4,5,3,7,6
race_031,2,1,7,3,5,6,4
,3,1,4,5,2,6,7
race_033,3,2,4,1,5,7,6
,2,3,1,4,6,7,5
race_035,4,5,3,1,6,2,7
,1,3,4,5,2,6,7
race_037,1,5,4,3,2,7,6
race_038,1,2,5,3,6,7,4
race_039,1,2,5,4,3,7,6
race_040,2,5,3,1,4,6,7
race_041,2,1,4,5,6,3,7
race_042,1,3,2,6,7,4,5
,4,3,2,5,1,7,6
race_044,1,2,7,3,4,6,5
race_045,1,2,5,3,6,4,7
race_046,1,2,5,3,4,6,7
,1,3,4,2,6,5,7
,1,2,5,3,4,6,7
race_049,3,2,1,6,5,4,7
race_050,1,7,3,5,6,2,4
race_051,1,2,3,5,4,6,7
,1,3,4,2,5,7,6
,1,2,5,6,3,4,7
,4,1,2,6,7,3,5
race_055,1,3,2,4,6,5,7
,1,3,2,4,6,5,7
race_057,1,4,3,2,7,5,6
race_058,1,2,3,4,5,6,7
,2,1,5,3,4,6,7
race_060,1,2,3,4,6,5,7
race_061,1,3,2,4,6,5,7
race_062,3,1,2,4,5,6,7
race_063,1,6,5,3,2,4,7
race_064,3,1,2,6,5,4,7
race_065,2,1,4,7,5,3,6
race_066,1,4,3,2,5,6,7
race_067,5,1,3,2,4,6,7
