model_A,model_B,model_C,model_D,model_E,model_F,model_G,model_H,model_I,model_J
,,,,1.0,,,,0.0,
,,,,1.0,0.0,,,,
,1.0,,,,0.0,,,,
1.0,,,,,,,0.0,,
,,,,,1.0,,,0.0,
,1.0,,0.0,,,,,,
,,,,1.0,,,0.0,,
,1.0,0.0,,,,,,,
0.0,,,,1.0,,,,,
,1.0,,,,,,,,0.0
,,1.0,,,,,,0.0,
,,,,,1.0,,,0.0,
,,1.0,,,,0.0,,,
,,,,,,1.0,0.0,,
1.0,,,,0.0,,,,,
,,,1.0,,,,0.0,,
,,,1.0,,0.0,,,,
,,,,,0.0,,,1.0,
1.0,,,,,0.0,,,,
,1.0,,0.0,,,,,,
,1.0,,,,,,0.0,,
0.0,,,,,,,,,1.0
,,,1.0,,0.0,,,,
,,,0.0,,,,,,1.0
,,,1.0,,,,,0.0,
,,,0.0,,1.0,,,,
1.0,,,,,,,,,0.0
,,1.0,,,,,,,0.0
,1.0,0.0,,,,,,,
1.0,,0.0,,,,,,,
,,,1.0,,0.0,,,,
0.0,,,,1.0,,,,,
,,,,,,1.0,,0.0,
,1.0,,,,,,0.0,,
,,,,,1.0,,,0.0,
,,,,,,,1.0,0.0,
1.0,,,,,,,,,0.0
,,,,1.0,,,,0.0,
0.0,,,,,,,,,1.0
,,,,,,0.0,,,1.0
,,,,,,,1.0,,0.0
,1.0,,,,0.0,,,,
,1.0,0.0,,,,,,,
,,,,,,,,1.0,0.0
,,,,,,1.0,,0.0,
,,,,,,0.0,,1.0,
,1.0,,,,,,,0.0,
,,,1.0,,,0.0,,,
,,,1.0,,,0.0,,,
,,,,,,0.0,1.0,,
,1.0,,,,0.0,,,,
,,,,0.0,1.0,,,,
,0.0,,,,,,1.0,,
,1.0,,,,,,,,0.0
,,1.0,,,0.0,,,,
,,,,,,,,1.0,0.0
,1.0,,,,,0.0,,,
1.0,,,,,,0.0,,,
,,,,1.0,,,,,0.0
,,,,,,,,0.0,1.0
,,,1.0,,,,0.0,,
,,,,,1.0,,,0.0,
,,,1.0,0.0,,,,,
,,,,,,,,1.0,0.0
0.0,,,,1.0,,,,,
,,,,1.0,0.0,,,,
,,1.0,,,,,,,0.0
,0.0,,,,,1.0,,,
0.0,1.0,,,,,,,,
,,,1.0,,,0.0,,,
,,0.0,,,1.0,,,,
,1.0,,,,0.0,,,,
,,1.0,,,,,,,0.0
1.0,0.0,,,,,,,,
,,,,,,0.0,1.0,,
,,,,0.0,,1.0,,,
,1.0,,,,,,,0.0,
,0.0,,,1.0,,,,,
,,,,,,,1.0,,0.0
0.0,,,,1.0,,,,,
0.0,,,,,,,,,1.0
,,,1.0,0.0,,,,,
,,,,1.0,,,,,0.0
1.0,,,,,,,0.0,,
,,1.0,,,,,,,0.0
,,,1.0,,,,,0.0,
,1.0,,,,0.0,,,,
1.0,,,,,,0.0,,,
,1.0,,,,0.0,,,,
,,,,,,1.0,,,0.0
,,,,0.0,,1.0,,,
1.0,,,,,0.0,,,,
,,,,,,,1.0,,0.0
,1.0,,,,0.0,,,,
,1.0,,0.0,,,,,,
,,,,,,1.0,,0.0,
,,,,1.0,0.0,,,,
,1.0,0.0,,,,,,,
,1.0,,,,,,,0.0,
,,,,,0.0,,,,1.0
,,1.0,0.0,,,,,,
,,,0.0,1.0,,,,,
,0.0,1.0,,,,,,,
,,,,,,,0.0,,1.0
,,,,,,,1.0,,0.0
,,,,,1.0,,,,0.0
,,1.0,,,0.0,,,,
,,,,,,,0.0,,1.0
1.0,,,,0.0,,,,,
,1.0,,,0.0,,,,,
1.0,,,,,,,,,0.0
,1.0,,,0.0,,,,,
,1.0,,,,,,,0.0,
,,,,,,,,1.0,0.0
0.0,,,,,,,1.0,,
,,,1.0,,,,,,0.0
,,,,,,,1.0,0.0,
1.0,,,,,,,0.0,,
,1.0,,,,0.0,,,,
0.0,,1.0,,,,,,,
,,,,,,,1.0,,0.0
,,1.0,,,,,,,0.0
,,,,1.0,,0.0,,,
1.0,,,,,0.0,,,,
,0.0,,,,1.0,,,,
,,,,,,0.0,,1.0,
,,1.0,,,,,,,0.0
,,1.0,,,,,,,0.0
,,,,1.0,,0.0,,,
,1.0,,,0.0,,,,,
,,1.0,,,0.0,,,,
,1.0,,,,,,,0.0,
,,,,,,1.0,,0.0,
,,,,0.0,1.0,,,,
,,,0.0,,1.0,,,,
,,,0.0,,,,1.0,,
,,1.0,,,,,,,0.0
,0.0,,,,,,,1.0,
1.0,,,,,,,,0.0,
,,1.0,,,,,,,0.0
,,1.0,,,,,,,0.0
,,1.0,,,,,,,0.0
1.0,,,,,,0.0,,,
,,,1.0,,,,0.0,,
,,,1.0,,,,0.0,,
,,,,0.0,,,1.0,,
,,,0.0,,1.0,,,,
,,,,,,,1.0,,0.0
,,,,1.0,,0.0,,,
,,1.0,,,,0.0,,,
,,1.0,,,,,,,0.0
