position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8
2,2,2,5,4,6,7,8
2,1,2,3,6,6,8,9
1,2,3,5,5,6,7,8
2,2,4,4,5,5,7,7
1,2,4,4,3,4,7,6
2,1,3,3,4,8,6,7
2,5,2,6,6,6,6,7
1,3,3,5,5,6,8,10
1,1,2,3,5,6,7,8
1,2,2,3,6,5,7,8
1,1,4,4,7,6,7,9
2,1,4,4,5,4,7,7
1,1,3,4,5,8,8,7
1,2,2,5,5,5,7,8
1,1,3,5,7,5,6,9
2,3,4,5,3,6,8,9
1,3,3,4,6,7,7,8
2,3,4,3,5,6,7,8
2,1,4,4,6,5,9,8
1,2,5,5,4,7,7,8
1,3,3,4,5,7,7,7
1,2,4,5,6,7,6,8
1,1,4,4,8,7,7,7
1,4,3,3,6,8,8,8
4,2,2,4,4,8,5,8
2,3,3,4,5,5,7,11
1,1,3,3,5,8,7,8
2,1,2,4,3,6,7,7
3,1,3,3,5,6,8,8
2,2,4,5,6,4,7,9
2,1,1,4,4,6,8,10
1,2,5,5,6,5,6,7
1,1,4,6,5,7,7,6
1,1,3,4,4,7,7,9
1,3,4,3,5,4,6,7
1,3,3,2,7,6,8,8
1,2,4,3,6,7,9,8
