class,method_1,method_2,method_3,method_4,method_5,method_6
C,0.8607760055452542,0.8312355969085948,0.8253760255811353,0.7105035385855714,0.6284962587342088,0.5783911058736382
B,0.8250106264187954,0.9476172527741379,0.9471802667396602,0.5854447823645387,0.8501583661030353,0.5492937095449171
A,0.8792148842118799,0.6041708511774893,0.6377648670938082,0.50897368812082,0.5236810287833173,0.5102451303454223
B,0.8780235946002494,0.739230587161029,0.6480613169501209,0.7453189949732549,0.814013388599692,0.41154819805750037
A,0.8792168828207326,0.5773166512200735,0.6111058881946652,0.5617982214958064,0.8104423303675172,0.64877285159246
C,0.8614845090277753,0.7931621973910248,0.774176064964948,0.6361330946116243,0.600268884929841,0.47243936385623975
C,0.936879833830555,0.8171683584500031,0.747560354980437,0.8166442391188581,0.58018474738001,0.47201933242624
A,0.852310434600073,0.9490795742171253,0.7148048876528014,0.5290784201975487,0.5407934801335309,0.6491926309886955
B,0.7522061164447361,0.8020634760893455,0.8109258628123298,0.5167401765402239,0.6031797469667332,0.3617016553328274
A,0.7887577109099132,0.894402512944238,0.8532328605214664,0.6969306189562339,0.4693280567440443,0.39764021893318335
C,0.6520981306510287,0.848383708153906,0.5774337590713158,0.7849487364010369,0.6023760982679404,0.5481865756491918
B,1.0,0.7464751802994832,0.6703027972098884,0.5125658282268037,0.7596880273850857,0.5793284429004852
A,0.9362754591952687,0.6491039253207961,0.8120143594123059,0.7107689736837177,0.5488914937523284,0.5984734647968925
A,0.7669929504870763,0.8175002298291811,0.6832261316141418,0.7280999539961692,0.585927569601095,0.5198201506603748
C,0.8218155150602899,0.6407897982854637,0.6501793923641845,0.464083951630768,0.4398859525732759,0.803036966864169
B,0.7863123525793566,0.9195207072669644,0.8318537427650394,0.7498501337907221,0.6474062088131044,0.5272107441234166
C,1.0,0.7737937897963176,0.601049993027602,0.757660587984218,0.6364481684951375,0.5269213847897278
C,0.708012283572907,0.9095177411511417,0.6998420192208895,0.6388214426743976,0.6163702359765771,0.4703013331186123
C,0.8614476058818779,0.74197855658676,0.7628644025804808,0.7952346362298008,0.5883172949777857,0.5623906816521071
B,0.8391472157435151,0.8168850786400992,0.6726180086089881,0.7836455574324845,0.5807242081227546,0.6114961232046775
C,0.9326838630709114,0.810934885733469,0.8083155656013175,0.6803117925717205,0.6601900233700673,0.6703578054533461
C,0.8395990772275305,0.7854955881989076,0.6731123024802631,0.6248554609675067,0.6071183398411377,0.4010715735559782
B,0.6741791123344565,0.7467340486603409,0.8708619493445919,0.5727172107417043,0.6414971871555333,0.5254004661644299
C,0.8248882165357558,0.8292456018470521,0.7174253702504227,0.666243649063381,0.6314982817454549,0.5946703610809144
B,0.7527837782056674,0.6973836736516792,0.7971270136705353,0.7269758919704179,0.7223427287095763,0.6087057534594535
C,0.857957954655656,0.6690564671040942,0.8046023952982816,0.6375823138959359,0.6776994097375055,0.550654865780454
B,0.9934177036520326,0.9142826893326828,0.6672459997255927,0.450249899473797,0.6292861843150191,0.6042423969532102
C,0.6760574755767721,0.86271679888921,0.5246513451344111,0.7968713894576571,0.7618422030652181,0.46910361070742
C,0.7699777264600096,0.796589160860224,0.7660755754663835,0.6890223221844894,0.6520268529056562,0.7057905432318358
B,0.7947307046216503,0.9565142382543782,0.7372288347124869,0.6320375503323167,0.740496268879042,0.649262810297943
A,0.8118368904586788,0.7632234481275155,0.7855826027575127,0.7557158388423288,0.6706942608386639,0.41550722129348283
A,0.9240125664105244,0.922270321998898,0.7073472527617162,0.8224638596482756,0.4258080921068458,0.4424896951883245
B,0.8326455582438612,0.8075574084925822,0.6869572301199284,0.3898088430512109,0.740483476331933,0.44530782498930943
C,0.8915802725720445,0.687524924992361,0.9308473010981699,0.7134263649922072,0.623517624134267,0.6177969970896529
B,0.7874226956268223,0.974804019177085,0.5827645938489222,0.5273350789189652,0.6048045229099223,0.4215272233582533
B,0.8729924345417938,0.8890710846624086,0.8033950478364238,0.7199110506798941,0.6381348347489578,0.516897566579192
A,0.9277797630877714,0.7778978968990437,0.6725398141816609,0.682792720237458,0.5755016838042933,0.5954704396416775
A,0.7767700450262911,0.862717125953395,0.6964221382259578,0.733572652644055,0.6327028860388946,0.5433834065453566
A,0.9281358119806514,0.7496296566002093,0.6982897167426034,0.6200752385505345,0.5508123933656909,0.5758887515712706
A,0.8552372768727569,0.8729149035059542,0.6496565725828742,0.4826759888180848,0.7374272258734371,0.4434197288651242
A,0.9545460240482253,0.5508921434716041,0.787122421023624,0.6249631808743332,0.5986411886378951,0.6094854373397245
B,0.8298580099923026,0.6880198666305406,0.8690643595949957,0.7106847635139784,0.5717416157277567,0.4886788107524004
A,0.8881244655162098,0.8879259744286964,0.7770013661246661,0.7715392328675224,0.5175074184280727,0.5175380325602059
A,0.8459393768321469,0.7650344461781081,0.7403381996212095,0.5528168699527475,0.6368775789148643,0.5737731727905987
C,0.8403787737959421,0.8107542294888742,0.6313559500900753,0.7727060426873018,0.6287107100125093,0.5603078221530848
C,0.875893042822569,0.6553214337884565,0.7816825265824451,0.6052127710353479,0.6488424613677507,0.5523980019015593
A,0.9036807469224903,0.9747866995702104,0.9456349631729298,0.7062449881594527,0.5072748112494871,0.47493731780232445
B,0.7250435088075995,0.9090529643717677,0.6919305376204907,0.6190106047134367,0.4498818801188428,0.5200450588800808
B,0.9933633608817878,0.7699314781624671,0.6924016420648134,0.6882170627712102,0.6725591302506561,0.5502183590837036
B,0.6640336959450202,0.7495304143136674,0.6738910869019002,0.7591877634570275,0.7584641861876509,0.41249147668329156
A,0.7815187890261104,0.8929604361419694,0.6810585765505579,0.5472985922711464,0.5073646377610105,0.5037467033686621
B,0.8405730929235099,0.9882470450168928,0.45547004463276153,0.6020094103253169,0.76894412835617,0.5887679879032847
