case_num,description,model_A,model_B,model_C,model_D,model_E,model_F,model_G,model_H,task_type
1,Test case 1,0.9519928605427754,0.6663359392573232,0.8667337713197157,0.7431759629143018,0.658707987281492,0.6282594649556037,0.39878320267560335,0.39086506202017224,code
2,Test case 2,0.9034703949636198,0.9814359945056955,0.8221727648894628,0.5677539589229539,0.6381967047734954,0.6095353598959825,0.6109814608588204,0.5887965583973368,code
3,Test case 3,0.9529566923822751,0.6383971701665805,0.5194463846628327,0.7468203494974922,0.6668617147437943,0.6396458252016957,0.7177284915791898,0.3867192400777818,qa
4,Test case 4,0.8128935971099147,0.9080822080444176,0.8278195985190782,0.7075498764372508,0.5195443244911062,0.36189255318741986,0.5835586871360465,0.5906232359262553,code
5,Test case 5,0.7991734853916679,0.7846937068560185,0.8062656243203103,0.9118749847825753,0.657430217952394,0.4089401009193877,0.586177758012086,0.4942302156135341,code
6,Test case 6,0.7752214895634018,0.7561968858732684,0.7613087234221203,0.7189654701782591,0.598613436499748,0.664768629234038,0.5241026247823506,0.2710954845753678,qa
7,Test case 7,0.8374713377230562,0.8113968085039189,0.5626920730997371,0.6644472464645754,0.6496735478341314,0.41375779666957024,0.4546759790863207,0.3751990513399465,qa
8,Test case 8,0.807799410329092,0.8560471767729241,0.6580368947955796,0.5929212328594864,0.5489900549163544,0.6044395778576348,0.583262094413008,0.27150614671278955,code
9,Test case 9,0.9708274740652139,0.7024170926240558,0.619032008760879,0.6041470918758715,0.5629222542889115,0.5290807486824851,0.3565345661026503,0.5663282132794208,math
10,Test case 10,0.8024676582317811,0.7112783703402856,0.5342134417635765,0.5959945190246128,0.7388127734652417,0.4646667897261146,0.46536734465077545,0.4475264579197599,code
11,Test case 11,0.7697278283775083,0.8578176293684314,0.7354227705728063,0.8156813099626208,0.5162738155945553,0.5992506900004616,0.3300371769091389,0.22716575600502198,code
12,Test case 12,1.0,0.6221228474921828,0.6559320735700077,0.6803684200730756,0.5236531313243666,0.5843890646573714,0.43677721941134884,0.48757468817196586,qa
13,Test case 13,0.8048624768918656,0.7344342335379342,0.9982448437411768,0.7350961409689016,0.6162704457070136,0.775319979495352,0.5713473663322133,0.396283573761168,qa
