experiment_name,dataset,run_date,score_A,score_B,score_C,score_D
exp_1,benchmark_3,2024-01-01,1.0,0.8669476418621808,0.4033877809663434,0.6142054592352246
exp_2,benchmark_3,2024-01-01,0.9422143692195263,0.9352536818888191,0.8134378529872667,0.4472402657420949
exp_3,benchmark_3,2024-01-01,0.8751276575917468,0.7337225561941833,0.6665679704805336,0.2489777858959587
exp_4,benchmark_2,2024-01-01,0.9834989427378587,0.6302633501827353,0.6992735123181828,0.4961348231172675
exp_5,benchmark_2,2024-01-01,0.9849820365318906,0.802490126068112,0.6634334567251808,0.5017183850385528
exp_6,benchmark_3,2024-01-01,1.0,0.9550477697851469,0.6907101094477918,0.5724075050744304
exp_7,benchmark_3,2024-01-01,0.8955372376933558,0.7189690806712608,0.6411411047229323,0.7010903035413434
exp_8,benchmark_2,2024-01-01,0.8834421027432405,0.8353513643730387,0.6604254676040774,0.46199463493996934
exp_9,benchmark_1,2024-01-01,0.8284455580241473,0.836241245913931,0.6440936769556284,0.41437118763397196
exp_10,benchmark_2,2024-01-01,0.9537462086725201,0.7858108714011276,0.5724741527764055,0.3833082198628557
exp_11,benchmark_2,2024-01-01,0.7451738331769164,0.7673591387710381,0.6286708568118664,0.51980786170316
exp_12,benchmark_3,2024-01-01,0.9776087372862565,0.6743237460945275,0.660692790659501,0.5479354258818502
exp_13,benchmark_3,2024-01-01,0.958783512186579,0.538500459424609,0.6443882452885464,0.44543446056374153
exp_14,benchmark_2,2024-01-01,0.9585070202458372,0.6554815960002638,0.4855561225580016,0.5778682745725789
exp_15,benchmark_2,2024-01-01,0.913822523650184,0.7276362517554968,0.49883466647249236,0.5465384076819175
exp_16,benchmark_2,2024-01-01,1.0,0.8764089354089374,0.7416174767249725,0.504323168964489
exp_17,benchmark_3,2024-01-01,0.9871993465426864,0.7563538604315292,0.6026339287449931,0.4097585279255874
exp_18,benchmark_2,2024-01-01,0.83929228086243,0.7147640947748519,0.6918058680369273,0.4518135684515277
exp_19,benchmark_2,2024-01-01,0.8410820950302353,0.6775681224713237,0.5241213423610936,0.25702447023174546
exp_20,benchmark_1,2024-01-01,0.8120326186585364,0.8323472495176147,0.4860187456686803,0.5235787064198034
exp_21,benchmark_2,2024-01-01,0.9551283332775587,0.9025023833097272,0.548973672080162,0.5026341288747436
exp_22,benchmark_3,2024-01-01,0.7999861078760043,0.8730102388534127,0.611076826256192,0.5188478991089487
